total no. of sims = 10 
sim duration = 50 
ana exec time = 10 
ana tot duration = 50 

pid, Interrupt, Started, Terminated, Done

2787, 30, 1460456807.29418, 1460456837.33125, None
2788, None, 1460456807.29555, None, 1460456867.35412
2789, None, 1460456807.29721, None, 1460456867.35416
2790, None, 1460456807.29882, None, 1460456867.35415
2791, 40, 1460456807.30049, 1460456847.34142, None
2792, 20, 1460456807.30210, 1460456827.32872, None
2793, None, 1460456807.30372, None, 1460456867.35417
2794, None, 1460456807.30524, None, 1460456867.35415
2795, 10, 1460456807.30682, 1460456817.31864, None
2796, None, 1460456807.30844, None, 1460456867.35416
