total no. of sims = 10 
sim duration = 50 
interrupt min time = 10 
interrupt max time = 15 
interrupt min tasks = 1 
interrupt max tasks = 3 
interrupt_total_duration = 50 

pid, Interrupt, Started, Terminated, Done

16672, None, 1461613198.18148, None, 1461613248.18189
16673, 23, 1461613198.18246, 1461613221.21579, None
16674, None, 1461613198.18346, None, 1461613248.18386
16675, None, 1461613198.18447, None, 1461613248.18486
16676, 23, 1461613198.18547, 1461613221.21235, None
16677, None, 1461613198.18646, None, 1461613248.18680
16678, None, 1461613198.18738, None, 1461613248.18773
16679, None, 1461613209.20015, None, 1461613259.20069
16680, 38, 1461613221.21417, 1461613236.23236, None
16681, None, 1461613221.21573, None, 1461613271.21626
16682, None, 1461613221.21713, None, 1461613271.21755
16683, None, 1461613236.23422, None, 1461613286.23483
16669, 11, 1461613198.17849, 1461613209.19859, None
16670, 23, 1461613198.17949, 1461613221.21424, None
16671, None, 1461613198.18048, None, 1461613248.18097
