total no. of sims = 10 
sim duration = 50 
ana exec time = 5 
ana tot duration = 50 

pid, Interrupt, Started, Terminated, Done

4708, None, 1460458926.80669, None, 1460458981.86435
4709, 10, 1460458926.80794, 1460458936.82710, None
4710, 5, 1460458926.80910, 1460458931.82185, None
4711, 45, 1460458926.81016, 1460458971.86235, None
4712, 25, 1460458926.81159, 1460458951.84273, None
4713, 15, 1460458926.81295, 1460458941.83233, None
4714, 40, 1460458926.81435, 1460458966.85712, None
4715, 20, 1460458926.81554, 1460458946.83751, None
4716, 30, 1460458926.81691, 1460458956.84772, None
4717, 35, 1460458926.81831, 1460458961.85290, None
