total no. of sims = 10 
sim duration = 50 
interrupt time period= 10 
interrupt_total_duration = 50 

pid, Interrupt, Started, Terminated, Done

3877, 20, 1460910737.40553, 1460910757.43759, None
3878, 20, 1460910737.40673, 1460910757.43766, None
3879, 20, 1460910737.40809, 1460910757.43763, None
3880, 40, 1460910737.40955, 1460910777.45580, None
3881, None, 1460910737.41084, None, 1460910797.47002
3882, 30, 1460910737.41212, 1460910767.44556, None
3883, 10, 1460910737.41337, 1460910747.42728, None
3884, 10, 1460910737.41458, 1460910747.42733, None
3885, None, 1460910737.41579, None, 1460910797.47006
3886, None, 1460910737.41704, None, 1460910797.47005
