total no. of sims = 10 
sim duration = 50 
ana max exec time = 10 
ana min exec time = 5 
ana tot duration = 50 

pid, Interrupt, Started, Terminated, Done

3538, None, 1460470833.23012, None, 1460470888.28843
3539, None, 1460470833.23145, None, 1460470888.28847
3540, 46, 1460470833.23274, 1460470879.27924, None
3541, 32, 1460470833.23409, 1460470865.26997, None
3542, 24, 1460470833.23551, 1460470857.26666, None
3543, 41, 1460470833.23679, 1460470874.27405, None
3544, 18, 1460470833.23810, 1460470851.26040, None
3545, None, 1460470833.23940, None, 1460470888.28845
3546, 8, 1460470833.24070, 1460470841.25019, None
3547, 13, 1460470833.24198, 1460470846.25528, None
