,uid,Unscheduled,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,StagingOutput,Canceled,Done
0,unit.000004,,15.39340090751648,15.39340090751648,17.534421920776367,17.535228967666626,17.538953065872192,17.539589881896973,17.543134927749634,,,,24.80399203300476,
1,unit.000007,,15.578609943389893,15.578609943389893,17.539751052856445,17.540358066558838,17.543412923812866,17.543882846832275,17.5609929561615,,,,44.76161789894104,
2,unit.000005,,15.579328060150146,15.579328060150146,17.545873880386353,17.546485900878906,17.54836893081665,17.548879861831665,17.568784952163696,,,,34.831923961639404,
3,unit.000001,,15.8936128616333,15.8936128616333,17.548081874847412,17.548552989959717,17.550381898880005,24.81179404258728,24.814064025878906,,,,44.76232695579529,
4,unit.000002,,15.894469976425171,15.894469976425171,17.550127029418945,17.550644874572754,17.551920890808105,34.84055995941162,34.84255599975586,,,,54.793652057647705,
5,unit.000006,,16.079200983047485,16.079200983047485,17.55202293395996,17.55254292488098,17.554020881652832,44.77408003807068,44.775956869125366,,,,74.85155701637268,
6,unit.000008,,16.080184936523438,16.080184936523438,17.55378484725952,17.55424690246582,17.555925846099854,44.77505898475647,44.7843120098114,,,,64.82418394088745,
7,unit.000003,,16.26474690437317,16.26474690437317,17.556066036224365,17.556570053100586,17.558477878570557,54.802698850631714,54.80477595329285,,,,84.87657690048218,
8,unit.000000,,16.265424013137817,16.265424013137817,17.557909965515137,17.55835795402527,17.559906005859375,64.83271789550781,64.83490085601807,,,,84.87717890739441,
9,unit.000009,,15.393987894058228,15.393987894058228,17.53749394416809,17.538047075271606,17.541375875473022,17.541854858398438,17.552062034606934,67.63228392601013,67.63615894317627,69.25005102157593,,69.3429160118103
