total no. of sims = 12 
sim duration = 50 
interrupt time period= 10 
interrupt_total_duration = 50 

pid, Interrupt, Started, Terminated, Done

unit.000009, 50, 1460825785.27160, 1460825814.77059, None
unit.000008, 90, 1460825824.69897, 1460825854.42541, None
unit.000003, 30, 1460825762.26951, 1460825794.93772, None
unit.000002, 60, 1460825805.07421, 1460825824.69903, None
unit.000001, 70, 1460825814.90641, 1460825834.98364, None
unit.000000, 40, 1460825762.26962, 1460825805.07436, None
unit.000007, 10, 1460825762.26965, 1460825775.03859, None
unit.000006, None, 1460825775.13547, None, 1460825827.97445
unit.000004, 20, 1460825762.26975, 1460825785.27175, None
unit.000010, None, 1460825798.68553, None, 1460825847.94761
unit.000011, 80, 1460825824.78989, 1460825844.65512, None
